Vers -1479;Hatchepsout règne sur l'Égypte
Vers -630;Naissance de Sappho
-51;Cléopâtre VII devient reine d'Egypte
79;Bérénice est chassée de Rome par Titus
177;Sainte Blandine est martyrisée
451;Sainte Geneviève fait face aux Huns
493;Clotilde devient reine des Francs
527, 5 août;Théodora devient impératrice
690, 16 octobre;Wu Zetian règne sur la Chine
1152, 18 mai;Aliénor d'Aquitaine épouse le futur roi d'Angleterre
1405;Christine de Pisan publie La Cité des dames
1429, 17 juillet;Jeanne d'Arc assiste au sacre de Charles VII
1491, 6 décembre;Anne de Bretagne épouse Charles VIII
1492, 2 janvier;Isabelle la Catholique achève la Reconquista
1559, 8 mai;Élisabeth lère d'Angleterre impose définitivement l'Église anglicane
1562;Thérèse d'Avila réforme l'ordre du Carmel
1572, 18 août;Marguerite de Valois se marie avec le futur Henri IV
1607;Pocahontas sauve John Smith
1609;Louise Bourgeois publie un catalogue d'obstétrique
1643, 18 mai;Régence d'Anne d'Autriche
1678;Madame de La Fayette publie La Princesse de Clèves
1683, 9 octobre;Madame de Maintenon et Louis XIV se marient
1745;Madame de Pompadour devient la favorite de Louis XV
1762, 28 juin;Catherine Il règne sur la Russie
1779;Elisabeth Vigée Lebrun réalise son 1er portrait de Marie-Antoinette
1787;Caroline Herschel devient la première astronome professionnelle
1791, septembre;Olympe de Gouges rédige la Déclaration des droits de la femme et de la citoyenne
1793, 13 juillet;Charlotte Corday assassine le député Marat
1804, 18 mai;Joséphine de Beauharnais devient impératrice
1818;Mary Shelley donne naissance à la créature de Frankenstein
1832;George Sand publie Indiana
1838, 28 juin;Le couronnement de Victoria 1 ère
1854, 24 avril;« Sissi » devient impératrice
1858, 11 février;Bernadette Soubirous témoigne de l'apparition de la Vierge Marie
1871, décembre;Louise Michel est condamnée
1874, 15 avril;Berthe Morisot expose au premier Salon des Impressionnistes
1880;Sarah Bernhardt crée sa compagnie théâtrale
1884;Camille Claudel intègre l'atelier de Rodin
1896;Calamity Jane publie sa biographie
1903, 10 décembre;Marie Curie obtient le prix Nobel de physique
1910;Coco Chanel ouvre sa première boutique
1917, 15 octobre;Mata Hari est exécutée
1920;Agatha Christie publie son premier roman
1925, 27 mai;Suzanne Lenglen remporte son premier Roland Garros
1925, 2 octobre;Joséphine Baker conquiert le public français avec La danse sauvage
1932, 21 mai;Amelia Earhart traverse l'Atlantique en solitaire
1939, février;Lise Meitner décrit la fission nucléaire
1942, 12 juin;Anne Franck débute l'écriture de son journal
1946;Édith Piaf chante la Vie en Rose
1947, 7 décembre;Marylin Monroe fait ses premiers pas au cinéma
1949;Simone de Beauvoir publie Le Deuxième sexe
1950, 7 octobre;Mère Teresa fonde Les Missionnaires de la Charité
1951,7 décembre;Maria Callas fait ses débuts
1955, 1er décembre;Rosa Parks refuse de céder sa place à un blanc dans un bus
1963, 16 juin;Valentina Tereshkova devient la première femme cosmonaute
1975, 17 janvier;Simone Veil fait adopter la loi sur l'IVG
1983;Dian Fossey publie Gorilles dans la brume
1988, 2 décembre;Benazir Bhutto nommée Premier ministre du Pakistan
1991;Aung San Suu Kyi reçoit le prix Nobel de la paix
2005, 8 février;Ellen MacArthur bat le record du tour du monde à la voile
