Vers -4000;Les alignements de Carnac
Vers - 1200;L'obélisque de Louxor (Paris)
-7;Le trophée des Alpes (La Turbie)
Vers 10;Le théâtre antique d'Orange
Vers 50;Le pont du Gard (Vers-Pont-du-Gard)
Vers 80;Les arènes d'Arles
Vers 250;Les remparts de la cité de Carcassonne
Vers 350;Le baptistère Saint-Jean (Poitiers)
Vers 575;La nécropole royale de la basilique Saint Denis (Saint-Denis)
Vers 870;La basilique Saint-Sernin (Toulouse)
910;L'abbaye de Cluny
966;L'abbaye du Mont Saint-Michel (Le Mont-Saint-Michel)
969;L'église Saint-Michel d'Aiguilhe
Vers 1000;Le fort de Joux (La Cluse-et-Mijoux)
1070;Le château de Peyrepertuse (Duilhacsous-Peyrepertuse)
1101;L'abbaye royale de Fontevraud (Fontevraud-l'Abbaye)
1135;La cathédrale de Saint Etienne de Sens
1147;Le château du Haut-Koenigsbourg (Orschwiller)
1155;Les remparts de Saint-Malo
1163;La cathédrale Notre-Dame de Paris
1197;Château-Gaillard (Les Andelys)
1211;La cathédrale Notre-Dame de Reims
Vers 1230;Le palais de la Berbie (Albi)
1335;Le Palais des Papes (Avignon)
Vers 1350;La tour Saint-Nicolas (La Rochelle)
1364;Le donjon de Vincennes
1365;Le palais des ducs de Bourgogne (Dijon)
1419;Le château de la citadelle de Corte
1443;Les Hospices de Beaune
1463;Le beffroi d'Arras
1465;Le château des ducs de Bretagne (Nantes)
1513;Le château de Chenonceau (Chenonceaux)
1519;Le château de Chambord
1527;Le château d'If (Marseille)
1578;Le pont Neuf (Paris)
1584;Le phare de Cordouan (Verdon-sur-Mer)
1605;La place des Vosges (Paris)
1615;Le palais du Luxembourg (Paris)
1652;La Vieille Bourse (Lille)
1664;Le château de Versailles
1684;L'église Notre-Dame-des-Anges (Collioure)
1722;Le palais Bourbon (Paris)
1732;Le palais Rohan (Strasbourg)
1752;La place Stanislas (Nancy)
1757;Le Panthéon (Paris)
1804;Le fort Boyard (Île-d'Aix)
1806;L'arc de Triomphe de l'Étoile (Paris)
1853;La basilique Notre-Dame-de-la-Garde (Marseille)
1858;Le château de Pierrefonds
1872;La basilique Notre-Dame-deFourvière (Lyon)
1875;La basilique du Sacré-Coeur de Montmartre (Paris)
1879;Le palais du Facteur Cheval (Hauterives)
1887;La tour Eiffel (Paris)
1890;Le pont-canal de Briare (Briare et Saint-Firmin-sur-Loire)
1894;Le monument aux Girondins (Bordeaux)
1922;La Grande Mosquée de Paris
1924;La nouvelle gare de Limoges-Bénédictins (Limoges)
1947;Le cimetière américain de Collevillesur-Mer
1985;La pyramide du Louvre (Paris)
2001;Le viaduc de Millau (Millau et Creissels)
